id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jenis_penerima_bantuan_iuran,persentase_penerima_bantuan_iuran,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,PBI APBD,1.2,PERSEN,2019
2,32,JAWA BARAT,3201,KABUPATEN BOGOR,PBI APBN,2.5,PERSEN,2019
3,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,PBI APBD,0.4,PERSEN,2019
4,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,PBI APBN,2.9,PERSEN,2019
5,32,JAWA BARAT,3203,KABUPATEN CIANJUR,PBI APBD,0.4,PERSEN,2019
6,32,JAWA BARAT,3203,KABUPATEN CIANJUR,PBI APBN,2.6,PERSEN,2019
7,32,JAWA BARAT,3204,KABUPATEN BANDUNG,PBI APBD,0.2,PERSEN,2019
8,32,JAWA BARAT,3204,KABUPATEN BANDUNG,PBI APBN,2.8,PERSEN,2019
9,32,JAWA BARAT,3205,KABUPATEN GARUT,PBI APBD,0.1,PERSEN,2019
10,32,JAWA BARAT,3205,KABUPATEN GARUT,PBI APBN,3.0,PERSEN,2019
11,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,PBI APBD,0.2,PERSEN,2019
12,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,PBI APBN,1.7,PERSEN,2019
13,32,JAWA BARAT,3207,KABUPATEN CIAMIS,PBI APBD,0.1,PERSEN,2019
14,32,JAWA BARAT,3207,KABUPATEN CIAMIS,PBI APBN,1.1,PERSEN,2019
15,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,PBI APBD,0.1,PERSEN,2019
16,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,PBI APBN,1.1,PERSEN,2019
17,32,JAWA BARAT,3209,KABUPATEN CIREBON,PBI APBD,0.6,PERSEN,2019
18,32,JAWA BARAT,3209,KABUPATEN CIREBON,PBI APBN,2.0,PERSEN,2019
19,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,PBI APBD,0.1,PERSEN,2019
20,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,PBI APBN,1.0,PERSEN,2019
21,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,PBI APBD,0.2,PERSEN,2019
22,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,PBI APBN,0.8,PERSEN,2019
23,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,PBI APBD,0.3,PERSEN,2019
24,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,PBI APBN,1.8,PERSEN,2019
25,32,JAWA BARAT,3213,KABUPATEN SUBANG,PBI APBD,0.1,PERSEN,2019
26,32,JAWA BARAT,3213,KABUPATEN SUBANG,PBI APBN,1.3,PERSEN,2019
27,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,PBI APBD,0.2,PERSEN,2019
28,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,PBI APBN,0.6,PERSEN,2019
29,32,JAWA BARAT,3215,KABUPATEN KARAWANG,PBI APBD,0.2,PERSEN,2019
30,32,JAWA BARAT,3215,KABUPATEN KARAWANG,PBI APBN,1.9,PERSEN,2019
31,32,JAWA BARAT,3216,KABUPATEN BEKASI,PBI APBD,1.0,PERSEN,2019
32,32,JAWA BARAT,3216,KABUPATEN BEKASI,PBI APBN,1.1,PERSEN,2019
33,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,PBI APBD,0.1,PERSEN,2019
34,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,PBI APBN,1.3,PERSEN,2019
35,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,PBI APBD,0.2,PERSEN,2019
36,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,PBI APBN,0.3,PERSEN,2019
37,32,JAWA BARAT,3271,KOTA BOGOR,PBI APBD,0.4,PERSEN,2019
38,32,JAWA BARAT,3271,KOTA BOGOR,PBI APBN,0.5,PERSEN,2019
39,32,JAWA BARAT,3272,KOTA SUKABUMI,PBI APBD,0.1,PERSEN,2019
40,32,JAWA BARAT,3272,KOTA SUKABUMI,PBI APBN,0.2,PERSEN,2019
41,32,JAWA BARAT,3273,KOTA BANDUNG,PBI APBD,1.1,PERSEN,2019
42,32,JAWA BARAT,3273,KOTA BANDUNG,PBI APBN,0.8,PERSEN,2019
43,32,JAWA BARAT,3274,KOTA CIREBON,PBI APBD,0.2,PERSEN,2019
44,32,JAWA BARAT,3274,KOTA CIREBON,PBI APBN,0.2,PERSEN,2019
45,32,JAWA BARAT,3275,KOTA BEKASI,PBI APBD,0.2,PERSEN,2019
46,32,JAWA BARAT,3275,KOTA BEKASI,PBI APBN,0.8,PERSEN,2019
47,32,JAWA BARAT,3276,KOTA DEPOK,PBI APBD,0.4,PERSEN,2019
48,32,JAWA BARAT,3276,KOTA DEPOK,PBI APBN,0.5,PERSEN,2019
49,32,JAWA BARAT,3277,KOTA CIMAHI,PBI APBD,0.1,PERSEN,2019
50,32,JAWA BARAT,3277,KOTA CIMAHI,PBI APBN,0.2,PERSEN,2019
51,32,JAWA BARAT,3278,KOTA TASIKMALAYA,PBI APBD,0.1,PERSEN,2019
52,32,JAWA BARAT,3278,KOTA TASIKMALAYA,PBI APBN,0.6,PERSEN,2019
53,32,JAWA BARAT,3279,KOTA BANJAR,PBI APBD,0.1,PERSEN,2019
54,32,JAWA BARAT,3279,KOTA BANJAR,PBI APBN,0.1,PERSEN,2019
55,32,JAWA BARAT,3201,KABUPATEN BOGOR,PBI APBN,2.6,PERSEN,2020
56,32,JAWA BARAT,3201,KABUPATEN BOGOR,PBI APBD,1.1,PERSEN,2020
57,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,PBI APBN,3.0,PERSEN,2020
58,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,PBI APBD,0.4,PERSEN,2020
59,32,JAWA BARAT,3203,KABUPATEN CIANJUR,PBI APBN,2.6,PERSEN,2020
60,32,JAWA BARAT,3203,KABUPATEN CIANJUR,PBI APBD,0.4,PERSEN,2020
61,32,JAWA BARAT,3204,KABUPATEN BANDUNG,PBI APBN,2.7,PERSEN,2020
62,32,JAWA BARAT,3204,KABUPATEN BANDUNG,PBI APBD,0.2,PERSEN,2020
63,32,JAWA BARAT,3205,KABUPATEN GARUT,PBI APBN,3.0,PERSEN,2020
64,32,JAWA BARAT,3205,KABUPATEN GARUT,PBI APBD,0.3,PERSEN,2020
65,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,PBI APBN,1.8,PERSEN,2020
66,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,PBI APBD,0.2,PERSEN,2020
67,32,JAWA BARAT,3207,KABUPATEN CIAMIS,PBI APBN,1.1,PERSEN,2020
68,32,JAWA BARAT,3207,KABUPATEN CIAMIS,PBI APBD,0.2,PERSEN,2020
69,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,PBI APBN,1.1,PERSEN,2020
70,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,PBI APBD,0.1,PERSEN,2020
71,32,JAWA BARAT,3209,KABUPATEN CIREBON,PBI APBN,2.2,PERSEN,2020
72,32,JAWA BARAT,3209,KABUPATEN CIREBON,PBI APBD,0.7,PERSEN,2020
73,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,PBI APBN,1.0,PERSEN,2020
74,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,PBI APBD,0.1,PERSEN,2020
75,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,PBI APBN,0.8,PERSEN,2020
76,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,PBI APBD,0.2,PERSEN,2020
77,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,PBI APBN,1.7,PERSEN,2020
78,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,PBI APBD,0.4,PERSEN,2020
79,32,JAWA BARAT,3213,KABUPATEN SUBANG,PBI APBN,1.3,PERSEN,2020
80,32,JAWA BARAT,3213,KABUPATEN SUBANG,PBI APBD,0.2,PERSEN,2020
81,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,PBI APBN,0.6,PERSEN,2020
82,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,PBI APBD,0.2,PERSEN,2020
83,32,JAWA BARAT,3215,KABUPATEN KARAWANG,PBI APBN,1.9,PERSEN,2020
84,32,JAWA BARAT,3215,KABUPATEN KARAWANG,PBI APBD,1.9,PERSEN,2020
85,32,JAWA BARAT,3216,KABUPATEN BEKASI,PBI APBN,1.0,PERSEN,2020
86,32,JAWA BARAT,3216,KABUPATEN BEKASI,PBI APBD,1.2,PERSEN,2020
87,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,PBI APBN,1.3,PERSEN,2020
88,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,PBI APBD,0.1,PERSEN,2020
89,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,PBI APBN,0.3,PERSEN,2020
90,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,PBI APBD,0.2,PERSEN,2020
91,32,JAWA BARAT,3271,KOTA BOGOR,PBI APBN,0.5,PERSEN,2020
92,32,JAWA BARAT,3271,KOTA BOGOR,PBI APBD,0.4,PERSEN,2020
93,32,JAWA BARAT,3272,KOTA SUKABUMI,PBI APBN,0.2,PERSEN,2020
94,32,JAWA BARAT,3272,KOTA SUKABUMI,PBI APBD,0.1,PERSEN,2020
95,32,JAWA BARAT,3273,KOTA BANDUNG,PBI APBN,0.7,PERSEN,2020
96,32,JAWA BARAT,3273,KOTA BANDUNG,PBI APBD,1.3,PERSEN,2020
97,32,JAWA BARAT,3274,KOTA CIREBON,PBI APBN,0.2,PERSEN,2020
98,32,JAWA BARAT,3274,KOTA CIREBON,PBI APBD,0.2,PERSEN,2020
99,32,JAWA BARAT,3275,KOTA BEKASI,PBI APBN,0.8,PERSEN,2020
100,32,JAWA BARAT,3275,KOTA BEKASI,PBI APBD,0.2,PERSEN,2020
101,32,JAWA BARAT,3276,KOTA DEPOK,PBI APBN,0.5,PERSEN,2020
102,32,JAWA BARAT,3276,KOTA DEPOK,PBI APBD,0.4,PERSEN,2020
103,32,JAWA BARAT,3277,KOTA CIMAHI,PBI APBN,0.2,PERSEN,2020
104,32,JAWA BARAT,3277,KOTA CIMAHI,PBI APBD,0.1,PERSEN,2020
105,32,JAWA BARAT,3278,KOTA TASIKMALAYA,PBI APBN,0.6,PERSEN,2020
106,32,JAWA BARAT,3278,KOTA TASIKMALAYA,PBI APBD,0.1,PERSEN,2020
107,32,JAWA BARAT,3279,KOTA BANJAR,PBI APBN,0.1,PERSEN,2020
108,32,JAWA BARAT,3279,KOTA BANJAR,PBI APBD,0.1,PERSEN,2020
109,32,JAWA BARAT,3201,KABUPATEN BOGOR,PBI APBN,24.52,PERSEN,2021
110,32,JAWA BARAT,3201,KABUPATEN BOGOR,PBI APBD,10.64,PERSEN,2021
111,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,PBI APBN,54.53,PERSEN,2021
112,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,PBI APBD,9.08,PERSEN,2021
113,32,JAWA BARAT,3203,KABUPATEN CIANJUR,PBI APBN,52.98,PERSEN,2021
114,32,JAWA BARAT,3203,KABUPATEN CIANJUR,PBI APBD,8.82,PERSEN,2021
115,32,JAWA BARAT,3204,KABUPATEN BANDUNG,PBI APBN,37.48,PERSEN,2021
116,32,JAWA BARAT,3204,KABUPATEN BANDUNG,PBI APBD,3.28,PERSEN,2021
117,32,JAWA BARAT,3205,KABUPATEN GARUT,PBI APBN,57.74,PERSEN,2021
118,32,JAWA BARAT,3205,KABUPATEN GARUT,PBI APBD,5.51,PERSEN,2021
119,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,PBI APBN,47.61,PERSEN,2021
120,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,PBI APBD,6.71,PERSEN,2021
121,32,JAWA BARAT,3207,KABUPATEN CIAMIS,PBI APBN,40.59,PERSEN,2021
122,32,JAWA BARAT,3207,KABUPATEN CIAMIS,PBI APBD,7.69,PERSEN,2021
123,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,PBI APBN,45.18,PERSEN,2021
124,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,PBI APBD,4.4,PERSEN,2021
125,32,JAWA BARAT,3209,KABUPATEN CIREBON,PBI APBN,46.25,PERSEN,2021
126,32,JAWA BARAT,3209,KABUPATEN CIREBON,PBI APBD,13.37,PERSEN,2021
127,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,PBI APBN,36.43,PERSEN,2021
128,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,PBI APBD,4.94,PERSEN,2021
129,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,PBI APBN,34.23,PERSEN,2021
130,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,PBI APBD,9.02,PERSEN,2021
131,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,PBI APBN,43.18,PERSEN,2021
132,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,PBI APBD,10.33,PERSEN,2021
133,32,JAWA BARAT,3213,KABUPATEN SUBANG,PBI APBN,38.45,PERSEN,2021
134,32,JAWA BARAT,3213,KABUPATEN SUBANG,PBI APBD,0.57,PERSEN,2021
135,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,PBI APBN,28.54,PERSEN,2021
136,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,PBI APBD,11.48,PERSEN,2021
137,32,JAWA BARAT,3215,KABUPATEN KARAWANG,PBI APBN,39.08,PERSEN,2021
138,32,JAWA BARAT,3215,KABUPATEN KARAWANG,PBI APBD,3.95,PERSEN,2021
139,32,JAWA BARAT,3216,KABUPATEN BEKASI,PBI APBN,17.93,PERSEN,2021
140,32,JAWA BARAT,3216,KABUPATEN BEKASI,PBI APBD,21.51,PERSEN,2021
141,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,PBI APBN,37.57,PERSEN,2021
142,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,PBI APBD,3.46,PERSEN,2021
143,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,PBI APBN,34.68,PERSEN,2021
144,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,PBI APBD,26.94,PERSEN,2021
145,32,JAWA BARAT,3271,KOTA BOGOR,PBI APBN,22.43,PERSEN,2021
146,32,JAWA BARAT,3271,KOTA BOGOR,PBI APBD,17.44,PERSEN,2021
147,32,JAWA BARAT,3272,KOTA SUKABUMI,PBI APBN,32.43,PERSEN,2021
148,32,JAWA BARAT,3272,KOTA SUKABUMI,PBI APBD,12.01,PERSEN,2021
149,32,JAWA BARAT,3273,KOTA BANDUNG,PBI APBN,14.59,PERSEN,2021
150,32,JAWA BARAT,3273,KOTA BANDUNG,PBI APBD,26.53,PERSEN,2021
151,32,JAWA BARAT,3274,KOTA CIREBON,PBI APBN,26.3,PERSEN,2021
152,32,JAWA BARAT,3274,KOTA CIREBON,PBI APBD,28.15,PERSEN,2021
153,32,JAWA BARAT,3275,KOTA BEKASI,PBI APBN,16.51,PERSEN,2021
154,32,JAWA BARAT,3275,KOTA BEKASI,PBI APBD,5.07,PERSEN,2021
155,32,JAWA BARAT,3276,KOTA DEPOK,PBI APBN,13.33,PERSEN,2021
156,32,JAWA BARAT,3276,KOTA DEPOK,PBI APBD,1.17,PERSEN,2021
157,32,JAWA BARAT,3277,KOTA CIMAHI,PBI APBN,20.19,PERSEN,2021
158,32,JAWA BARAT,3277,KOTA CIMAHI,PBI APBD,12.48,PERSEN,2021
159,32,JAWA BARAT,3278,KOTA TASIKMALAYA,PBI APBN,42.22,PERSEN,2021
160,32,JAWA BARAT,3278,KOTA TASIKMALAYA,PBI APBD,8.06,PERSEN,2021
161,32,JAWA BARAT,3279,KOTA BANJAR,PBI APBN,26.42,PERSEN,2021
162,32,JAWA BARAT,3279,KOTA BANJAR,PBI APBD,16.82,PERSEN,2021
